iter	Passed	Remaining
603	10281	6740
604	10295	6721
605	10311	6703
606	10327	6686
607	10341	6667
608	10355	6648
609	10369	6629
610	10384	6611
611	10398	6592
612	10421	6579
613	10438	6562
614	10452	6543
615	10466	6524
616	10481	6506
617	10495	6487
618	10507	6467
619	10522	6449
620	10537	6431
621	10551	6412
622	10565	6393
623	10580	6375
624	10595	6357
625	10609	6338
626	10630	6324
627	10646	6306
628	10660	6287
629	10669	6266
630	10684	6248
631	10698	6229
632	10712	6211
633	10729	6194
634	10744	6176
635	10761	6158
636	10776	6141
637	10791	6122
638	10813	6108
639	10828	6090
640	10844	6073
641	10859	6055
642	10873	6037
643	10888	6018
644	10902	6000
645	10914	5981
646	10927	5961
647	10941	5943
648	10956	5925
649	10972	5908
650	10986	5889
651	11009	5876
652	11024	5858
653	11038	5840
654	11055	5823
655	11071	5805
656	11086	5787
657	11100	5769
658	11112	5749
659	11126	5731
660	11138	5712
661	11153	5694
662	11177	5681
663	11192	5663
664	11204	5644
665	11219	5626
666	11234	5608
667	11249	5591
668	11273	5577
669	11283	5557
670	11297	5539
671	11312	5521
672	11326	5503
673	11340	5485
674	11358	5468
675	11376	5452
676	11390	5434
677	11405	5416
678	11420	5398
679	11432	5379
680	11444	5361
681	11459	5343
682	11476	5326
683	11491	5308
684	11505	5291
685	11520	5273
686	11534	5255
687	11548	5237
688	11560	5218
689	11581	5203
690	11593	5184
691	11607	5166
692	11621	5148
693	11635	5130
694	11651	5113
695	11666	5095
696	11679	5077
697	11694	5059
698	11710	5042
699	11722	5023
700	11736	5006
701	11753	4989
702	11768	4972
703	11782	4954
704	11800	4937
705	11816	4920
706	11832	4903
707	11847	4886
708	11861	4868
709	11875	4850
710	11889	4832
711	11901	4814
712	11917	4797
713	11933	4780
714	11949	4762
715	11965	4746
716	11982	4729
717	12117	4759
718	12134	4742
719	12397	4821
720	12431	4810
721	12450	4794
722	12470	4777
723	12499	4765
724	12526	4751
725	12544	4734
726	12565	4718
727	12586	4702
728	12612	4688
729	12630	4671
730	12648	4654
731	12673	4640
732	12694	4623
733	12723	4611
734	12748	4596
735	12777	4583
736	12795	4566
737	12823	4552
738	12844	4536
739	12873	4523
740	12909	4512
741	12927	4495
742	12944	4477
743	12961	4459
744	12983	4443
745	13000	4426
746	13015	4408
747	13039	4393
748	13053	4374
749	13076	4358
750	13093	4341
751	13110	4323
752	13133	4308
753	13150	4290
754	13167	4272
755	13183	4255
756	13200	4237
757	13225	4222
758	13250	4207
759	13267	4189
760	13284	4172
761	13301	4154
762	13318	4137
763	13335	4119
764	13357	4103
765	13379	4087
766	13395	4069
767	13409	4050
768	13427	4033
769	13445	4016
770	13466	3999
771	13485	3982
772	13498	3964
773	13519	3947
774	13540	3930
775	13562	3915
776	13580	3897
777	13595	3879
778	13609	3860
779	13626	3843
780	13642	3825
781	13666	3809
782	13681	3791
783	13704	3775
784	13725	3759
785	13742	3741
786	13759	3723
787	13784	3708
788	13801	3690
789	13818	3673
790	13836	3655
791	13867	3641
792	13884	3624
793	13901	3606
794	13919	3589
795	13936	3571
796	13955	3554
797	13975	3537
798	13994	3520
799	14027	3506
800	14046	3489
801	14061	3471
802	14078	3453
803	14097	3436
804	14113	3418
805	14127	3400
806	14149	3383
807	14163	3365
808	14177	3347
809	14192	3329
810	14208	3311
811	14225	3293
812	14240	3275
813	14252	3256
814	14263	3237
815	14277	3219
816	14291	3201
817	14307	3183
818	14326	3166
819	14341	3148
820	14357	3130
821	14371	3111
822	14386	3094
823	14408	3077
824	14422	3059
825	14435	3040
826	14449	3022
827	14463	3004
828	14480	2987
829	14514	2972
830	14528	2954
831	14540	2936
832	14554	2917
833	14570	2900
834	14587	2882
835	14602	2864
836	14619	2847
837	14634	2829
838	14648	2810
839	14663	2793
840	14682	2775
841	14697	2757
842	14711	2739
843	14728	2722
844	14742	2704
845	14757	2686
846	14771	2668
847	14784	2649
848	14797	2631
849	14813	2614
850	14826	2595
851	14854	2580
852	14866	2561
853	14878	2543
854	14893	2525
855	14907	2507
856	14922	2489
857	14935	2471
858	14951	2454
